"id";"ile_id";"nom";"slug"
"222";"1";"Moroni";"moroni"
"223";"1";"Mitsamihouli";"mitsamihouli"
"224";"1";"Iconi";"iconi"
"225";"1";"Hahaya";"hahaya"
"226";"2";"Mutsamudu";"mutsamudu"
"227";"2";"Ouani";"ouani"
"228";"2";"Domoni";"domoni"
"229";"2";"Sima";"sima"
"230";"2";"Moya";"moya"
"231";"3";"Fomboni";"fomboni"
"232";"3";"Djoiézi";"djoiezi"
"233";"3";"Miringoni";"miringoni"
"234";"3";"Nioumachoua";"nioumachoua"
"235";"3";"Hoani";"hoani"
"237";"1";"Ouellah";"ouellah"
"238";"2";"Ntsingoni";"ntsingoni"
"239";"3";"Barakani-Mohéli";"barakani-moheli"
"240";"3";"Hamba";"hamba"
"241";"3";"Wallah 1";"wallah-1"
"242";"3";"Wallah 2";"wallah-2"
"243";"3";"Ndondroni";"ndondroni"
"244";"3";"Bangoma";"bangoma"
"245";"3";"Bandar-es-Salama";"bandar-es-salama"
"247";"3";"Wanani";"wanani"
"248";"3";"Kangani";"kangani"
"249";"3";"Mlabanda";"mlabanda"
"250";"3";"Ziroudani";"ziroudani"
"251";"3";"Itsamia";"itsamia"
"252";"3";"Hagnamoida";"hagnamoida"
"253";"3";"Hamavouna";"hamavouna"
"254";"3";"Ngamaroumbo";"ngamaroumbo"
"255";"1";"Nioumadzaha-Bambao";"nioumadzaha-bambao"
"256";"1";"Sélea-Bambao";"selea-bambao"
"257";"1";"Moindzaza-Djoumbé";"moindzaza-djoumbe"
"258";"1";"Moindzaza-Mboini";"moindzaza-mboini"
"259";"1";"Serehini";"serehini"
"260";"1";"Ndrouani";"ndrouani"
"261";"1";"Vouvouni-Bamba";"vouvouni-bamba"
"262";"1";"Mdé";"mde"
"263";"1";"M'Kazi";"mkazi"
"264";"1";"Mbachilé";"mbachile"
"265";"1";"Mbounadjou-Bambao";"mbounadjou-bambao"
"266";"1";"Bweni-Bambao";"bweni-bambao"
"267";"1";"Mitsoudjé";"mitsoudje"
"268";"1";"Salimani-Hambou";"salimani-hambou"
"269";"1";"Nkomioni-Hambou";"nkomioni-hambou"
"270";"1";"Djoumoichongo-Hambou";"djoumoichongo-hambou"
"271";"1";"Chouani-Hambou";"chouani-hambou"
"272";"1";"Bangoi-Hambou";"bangoi-hambou"
"273";"1";"Mdjoiezi-Hambou";"mdjoiezi-hambou"
"274";"1";"Singani-Hambou";"singani-hambou"
"275";"1";"Mbambani-Hambou";"mbambani-hambou"
"276";"1";"Hetsa-Hambou";"hetsa-hambou"
"277";"1";"Dzahadjou-Hambou";"dzahadjou-hambou"
"278";"1";"Makorani";"makorani"
"279";"1";"Ntsinimoichongo-Mbadjini";"ntsinimoichongo-mbadjini"
"280";"1";"Kandzilé";"kandzile"
"281";"1";"Mboudé-Mbadjini";"mboude-mbadjini"
"282";"1";"Dembeni";"dembeni"
"283";"1";"Ouziani";"ouziani"
"284";"1";"Domoni-Mbadjini";"domoni-mbadjini"
"285";"1";"Panda";"panda"
"286";"1";"Kourani Ya Sima";"kourani-ya-sima"
"287";"1";"Mlali-Mbadjini";"mlali-mbadjini"
"288";"1";"Mdjakangnoi";"mdjakangnoi"
"289";"1";"Dima-Mbadjini";"dima-mbadjini"
"290";"1";"Dzoidjou-Mbadjini";"dzoidjou-mbadjini"
"291";"1";"Kourani-Mkanga";"kourani-mkanga"
"292";"1";"Famaré-Mbadjini";"famare-mbadjini"
"293";"1";"Nioumamilima";"nioumamilima"
"294";"1";"Simboussa";"simboussa"
"295";"1";"Bandamadji-Nkouboini(Mbadjini)";"bandamadji-nkouboinimbadjini"
"296";"1";"Gnambeni";"gnambeni"
"297";"1";"Didjoni";"didjoni"
"298";"1";"Kové";"kove"
"299";"1";"Foumbouni";"foumbouni"
"300";"1";"Malé";"male"
"301";"1";"Ouropveni";"ouropveni"
"302";"1";"Chindini";"chindini"
"303";"1";"Simamboini";"simamboini"
"304";"1";"Midjendjeni";"midjendjeni"
"305";"1";"Ndzouani-Mbadjini";"ndzouani-mbadjini"
"306";"1";"Dzahadjou-Mbadjini";"dzahadjou-mbadjini"
"307";"1";"Ifoundihé-Chamboini";"ifoundihe-chamboini"
"308";"1";"Mandzissani";"mandzissani"
"309";"1";"Mlimani";"mlimani"
"310";"1";"Mindradou";"mindradou"
"311";"1";"Batsa-Itsandra";"batsa-itsandra"
"312";"1";"Hantsambou-Itsadra";"hantsambou-itsadra"
"313";"1";"Badamadji-la domba";"badamadji-la-domba"
"314";"1";"Mtsangadjou-Dimani";"mtsangadjou-dimani"
"315";"1";"Sima-Wachili";"sima-wachili"
"316";"1";"Ntsoralé-Dimani";"ntsorale-dimani"
"317";"1";"Batou-Hamahamet";"batou-hamahamet"
"318";"1";"Moidja-Hamahame";"moidja-hamahame"
"319";"1";"Hadjambou-Hamahame";"hadjambou-hamahame"
"320";"1";"Babadjani-Hamahame";"babadjani-hamahame"
"321";"1";"Djongwé";"djongwe"
"325";"1";"Chamlé";"chamle"
"326";"1";"Djomani-Boudé";"djomani-boude"
"327";"1";"Douniyani-ya mboudé";"douniyani-ya-mboude"
"328";"1";"Hélendjé-Mboudé";"helendje-mboude"
"329";"1";"Itsikoudi-Ouachili";"itsikoudi-ouachili"
"330";"1";"Chomoni-Ouachili";"chomoni-ouachili"
"331";"1";"Ntsadjéni";"ntsadjeni"
"332";"1";"Batsa-Mitsa";"batsa-mitsa"
